id,Date,Year,Date_Comment,Lenght,Country_Comment
436,2020-03-22,2020.0,Date ok,10,Check
437,2020-03-21,2020.0,Date ok,10,Check
439,2020-03-02,2020.0,Date ok,10,Check
440,2020-02-22,2020.0,Date ok,10,Check
441,2020-02-05,2020.0,Date ok,10,Check
442,2010-02-01,2010.0,Date ok,10,Check
444,2020-01-17,2020.0,Date ok,10,Check
445,2020-01-16,2020.0,Date ok,10,Check
446,2020-01-13,2020.0,Date ok,10,Check
447,2020-01-12,2020.0,Date ok,10,Check
448,2020-01-07,2020.0,Date ok,10,Check
449,2020-01-05,2020.0,Date ok,10,Check
450,2020-01-03,2020.0,Date ok,10,Check
451,2020-01-02,2020.0,Date ok,10,Check
452,2019-12-30,2019.0,Date ok,10,Check
453,2019-12-28,2019.0,Date ok,10,Check
454,2019-12-26,2019.0,Date ok,10,Check
455,2019-12-26,2019.0,Date ok,10,Check
456,2019-12-24,2019.0,Date ok,10,Check
457,2019-12-21,2019.0,Date ok,10,Check
458,2019-12-20,2019.0,Date ok,10,Check
459,2019-12-12,2019.0,Date ok,10,Check
460,2019-12-06,2019.0,Date ok,10,Check
461,2019-12-04,2019.0,Date ok,10,Check
462,2019-12-03,2019.0,Date ok,10,Check
463,2019-11-30,2019.0,Date ok,10,Check
464,2019-11-30,2019.0,Date ok,10,Check
465,2019-11-23,2019.0,Date ok,10,Check
466,2019-11-23,2019.0,Date ok,10,Check
467,2019-11-22,2019.0,Date ok,10,Check
468,2019-11-14,2019.0,Date ok,10,Check
469,2019-11-12,2019.0,Date ok,10,Check
470,2019-11-11,2019.0,Date ok,10,Check
471,2019-11-09,2019.0,Date ok,10,Check
472,2019-11-06,2019.0,Date ok,10,Check
473,2019-11-02,2019.0,Date ok,10,Check
474,2019-10-29,2019.0,Date ok,10,Check
475,2019-10-27,2019.0,Date ok,10,Check
476,2019-10-25,2019.0,Date ok,10,Check
477,2019-10-21,2019.0,Date ok,10,Check
478,2019-10-17,2019.0,Date ok,10,Check
479,2019-10-08,2019.0,Date ok,10,Check
480,2019-10-05,2019.0,Date ok,10,Check
481,2019-10-05,2019.0,Date ok,10,Check
483,2019-09-28,2019.0,Date ok,10,Check
484,2019-09-26,2019.0,Date ok,10,Check
485,2019-09-24,2019.0,Date ok,10,Check
486,2019-09-24,2019.0,Date ok,10,Check
487,2019-09-18,2019.0,Date ok,10,Check
488,2019-09-15,2019.0,Date ok,10,Check
489,2019-09-07,2019.0,Date ok,10,Check
490,2019-08-31,2019.0,Date ok,10,Check
491,2019-08-31,2019.0,Date ok,10,Check
492,2019-08-27,2019.0,Date ok,10,Check
493,2019-08-21,2019.0,Date ok,10,Check
494,2019-08-20,2019.0,Date ok,10,Check
495,2019-08-16,2019.0,Date ok,10,Check
496,2019-08-16,2019.0,Date ok,10,Check
497,2019-08-11,2019.0,Date ok,10,Check
498,2019-08-04,2019.0,Date ok,10,Check
499,2019-08-03,2019.0,Date ok,10,Check
500,2019-08-03,2019.0,Date ok,10,Check
501,2019-08-03,2019.0,Date ok,10,Check
502,2019-07-29,2019.0,Date ok,10,Check
503,2019-07-30,2019.0,Date ok,10,Check
504,2019-07-29,2019.0,Date ok,10,Check
505,2019-07-28,2019.0,Date ok,10,Check
506,2019-07-27,2019.0,Date ok,10,Check
507,2019-07-27,2019.0,Date ok,10,Check
508,2019-07-22,2019.0,Date ok,10,Check
509,2019-07-18,2019.0,Date ok,10,Check
511,2019-07-16,2019.0,Date ok,10,Check
512,2019-07-12,2019.0,Date ok,10,Check
513,2019-07-10,2019.0,Date ok,10,Check
514,2019-07-09,2019.0,Date ok,10,Check
515,2019-07-06,2019.0,Date ok,10,Check
516,2019-07-04,2019.0,Date ok,10,Check
517,2019-06-30,2019.0,Date ok,10,Check
518,2019-06-26,2019.0,Date ok,10,Check
519,2019-06-21,2019.0,Date ok,10,Check
520,2019-06-16,2019.0,Date ok,10,Check
521,2019-06-17,2019.0,Date ok,10,Check
522,2019-06-16,2019.0,Date ok,10,Check
523,2019-06-10,2019.0,Date ok,10,Check
525,2019-06-05,2019.0,Date ok,10,Check
526,2019-06-02,2019.0,Date ok,10,Check
527,2019-05-29,2019.0,Date ok,10,Check
528,2019-05-25,2019.0,Date ok,10,Check
529,2019-05-25,2019.0,Date ok,10,Check
530,2019-05-20,2019.0,Date ok,10,Check
531,2019-05-17,2019.0,Date ok,10,Check
532,2019-05-14,2019.0,Date ok,10,Check
533,2019-05-14,2019.0,Date ok,10,Check
534,2018-05-09,2018.0,Date ok,10,Check
535,2019-05-08,2019.0,Date ok,10,Check
536,2019-05-07,2019.0,Date ok,10,Check
537,2019-05-04,2019.0,Date ok,10,Check
538,2019-05-01,2019.0,Date ok,10,Check
540,2019-04-23,2019.0,Date ok,10,Check
541,2019-04-21,2019.0,Date ok,10,Check
542,2019-04-12,2019.0,Date ok,10,Check
543,2019-04-06,2019.0,Date ok,10,Check
544,2019-04-06,2019.0,Date ok,10,Check
545,2019-04-05,2019.0,Date ok,10,Check
546,2019-03-26,2019.0,Date ok,10,Check
547,2019-03-25,2019.0,Date ok,10,Check
548,2019-03-22,2019.0,Date ok,10,Check
549,2019-03-21,2019.0,Date ok,10,Check
550,2019-03-16,2019.0,Date ok,10,Check
551,2019-03-12,2019.0,Date ok,10,Check
552,2019-03-05,2019.0,Date ok,10,Check
553,2019-03-05,2019.0,Date ok,10,Check
554,2018-02-18,2018.0,Date ok,10,Check
555,2019-02-17,2019.0,Date ok,10,Check
556,2019-02-14,2019.0,Date ok,10,Check
557,2019-02-10,2019.0,Date ok,10,Check
558,2019-02-04,2019.0,Date ok,10,Check
559,2019-02-04,2019.0,Date ok,10,Check
560,2019-02-02,2019.0,Date ok,10,Check
561,2019-02-02,2019.0,Date ok,10,Check
562,2019-01-30,2019.0,Date ok,10,Check
563,2019-01-29,2019.0,Date ok,10,Check
564,2019-01-14,2019.0,Date ok,10,Check
565,2019-01-10,2019.0,Date ok,10,Check
567,2018-12-18,2018.0,Date ok,10,Check
568,2018-12-15,2018.0,Date ok,10,Check
569,2018-12-15,2018.0,Date ok,10,Check
570,2018-12-09,2018.0,Date ok,10,Check
571,2018-12-09,2018.0,Date ok,10,Check
572,2018-11-28,2018.0,Date ok,10,Check
573,2018-11-24,2018.0,Date ok,10,Check
574,2018-11-18,2018.0,Date ok,10,Check
575,2018-11-17,2018.0,Date ok,10,Check
576,2018-11-14,2018.0,Date ok,10,Check
577,2018-11-11,2018.0,Date ok,10,Check
578,2018-11-11,2018.0,Date ok,10,Check
579,2018-11-09,2018.0,Date ok,10,Check
580,2018-11-07,2018.0,Date ok,10,Check
581,2018-11-05,2018.0,Date ok,10,Check
582,2018-11-03,2018.0,Date ok,10,Check
583,2018-10-24,2018.0,Date ok,10,Check
584,2018-10-23,2018.0,Date ok,10,Check
585,2018-10-23,2018.0,Date ok,10,Check
586,2018-10-23,2018.0,Date ok,10,Check
587,2018-10-19,2018.0,Date ok,10,Check
588,2018-10-19,2018.0,Date ok,10,Check
590,2018-10-13,2018.0,Date ok,10,Check
591,2018-10-11,2018.0,Date ok,10,Check
592,2018-10-08,2018.0,Date ok,10,Check
593,2018-09-29,2018.0,Date ok,10,Check
594,2018-09-28,2018.0,Date ok,10,Check
595,2018-09-27,2018.0,Date ok,10,Check
596,2018-09-23,2018.0,Date ok,10,Check
597,2018-09-23,2018.0,Date ok,10,Check
598,2018-09-20,2018.0,Date ok,10,Check
599,2018-09-19,2018.0,Date ok,10,Check
600,2018-09-20,2018.0,Date ok,10,Check
601,2018-09-19,2018.0,Date ok,10,Check
602,2018-09-15,2018.0,Date ok,10,Check
603,2018-09-08,2018.0,Date ok,10,Check
604,2018-09-08,2018.0,Date ok,10,Check
605,2018-09-07,2018.0,Date ok,10,Check
606,2018-09-01,2018.0,Date ok,10,Check
608,2018-08-24,2018.0,Date ok,10,Check
609,2018-08-20,2018.0,Date ok,10,Check
610,2018-08-18,2018.0,Date ok,10,Check
611,2018-08-18,2018.0,Date ok,10,Check
612,2018-08-15,2018.0,Date ok,10,Check
613,2018-08-15,2018.0,Date ok,10,Check
614,2018-08-15,2018.0,Date ok,10,Check
615,2018-08-09,2018.0,Date ok,10,Check
616,2018-08-05,2018.0,Date ok,10,Check
617,2018-08-05,2018.0,Date ok,10,Check
618,2018-08-03,2018.0,Date ok,10,Check
619,2018-07-29,2018.0,Date ok,10,Check
620,2018-07-24,2018.0,Date ok,10,Check
621,2018-07-18,2018.0,Date ok,10,Check
622,2018-07-18,2018.0,Date ok,10,Check
624,2018-07-15,2018.0,Date ok,10,Check
625,2018-07-14,2018.0,Date ok,10,Check
626,2018-07-14,2018.0,Date ok,10,Check
627,2018-07-13,2018.0,Date ok,10,Check
628,2018-07-13,2018.0,Date ok,10,Check
629,2018-07-11,2018.0,Date ok,10,Check
631,2018-07-07,2018.0,Date ok,10,Check
632,2018-07-02,2018.0,Date ok,10,Check
633,2018-06-25,2018.0,Date ok,10,Check
634,2018-06-18,2018.0,Date ok,10,Check
635,2018-06-18,2018.0,Date ok,10,Check
636,2018-06-09,2018.0,Date ok,10,Check
637,2018-06-08,2018.0,Date ok,10,Check
638,2018-06-04,2018.0,Date ok,10,Check
639,2018-06-03,2018.0,Date ok,10,Check
640,2018-06-03,2018.0,Date ok,10,Check
641,,,Date ok,10,Check
642,2018-05-27,2018.0,Date ok,10,Check
643,2018-05-26,2018.0,Date ok,10,Check
644,2018-05-26,2018.0,Date ok,10,Check
645,2018-05-24,2018.0,Date ok,10,Check
646,2018-05-21,2018.0,Date ok,10,Check
647,2018-05-13,2018.0,Date ok,10,Check
648,2018-05-13,2018.0,Date ok,10,Check
650,2018-05-12,2018.0,Date ok,10,Check
651,2018-05-09,2018.0,Date ok,10,Check
653,2018-04-28,2018.0,Date ok,10,Check
654,2018-04-28,2018.0,Date ok,10,Check
655,2018-04-28,2018.0,Date ok,10,Check
656,2018-04-25,2018.0,Date ok,10,Check
657,2018-04-25,2018.0,Date ok,10,Check
